; matrix-scan  -quick -v 2 -m results/leaderboard/train/CHS/GABPA/THC_0866/peak-motifs-nopurge/clustered_motifs/matrix-clusters_aligned_logos/All_concatenated_motifs_trimmed-info_0.1.tf -matrix_format transfac -i data/leaderboard/train/CHS/GABPA/THC_0866_rand-loci.fa -seq_format fasta -bgfile bg_models/equiprobable_1str.tsv -bg_pseudo 0.01 -pseudo 1 -decimals 1 -2str -return sites -uth rank_pm 1 -n score
; Quick counting mode           
; Input files
;	data/leaderboard/train/CHS/GABPA/THC_0866_rand-loci.fa
;	bg_models/equiprobable_1str.tsv
; Matrix files
;	results/leaderboard/train/CHS/GABPA/THC_0866/peak-motifs-nopurge/clustered_motifs/matrix-clusters_aligned_logos/All_concatenated_motifs_trimmed-info_0.1.tf
; Sequence format      
; Pseudo counts        
; Background model
;	file
;
;	sensitive
;	0.01
;
;	a	0.25000
;	c	0.25000
;	g	0.25000
;	t	0.25000
; Thresholds	upper
;	NA	1    
; Output columns
;	seq_id
;	ft_type
;	ft_name
;	strand
;	start
;	end
;	sequence
;	weight
#seq_id	ft_name	strand	start	end	weight
randfragment_1_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000011.10:96351407:96351911:D	cluster_3_node_1_2motifs	D	170	195	-8.5
randfragment_2_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000010.11:55928100:55928575:D	cluster_3_node_1_2motifs	D	15	40	3.6
randfragment_3_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000005.10:108626700:108627038:D	cluster_3_node_1_2motifs	D	305	330	1.7
randfragment_4_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000008.11:134067969:134068639:D	cluster_3_node_1_2motifs	R	318	343	-2.8
randfragment_5_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000010.11:78719430:78720015:D	cluster_3_node_1_2motifs	R	522	547	-0.8
randfragment_6_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000014.9:19559992:19560336:R	cluster_3_node_1_2motifs	.	0	0	-1000000.0
randfragment_7_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NT_167245.2:42222:42583:D	cluster_3_node_1_2motifs	D	120	145	5.9
randfragment_8_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000002.12:211436687:211436959:R	cluster_3_node_1_2motifs	R	56	81	-12.9
randfragment_9_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000020.11:33568486:33569136:D	cluster_3_node_1_2motifs	D	459	484	5.5
randfragment_10_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:172364598:172364896:R	cluster_3_node_1_2motifs	D	249	274	-3.2
randfragment_11_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000022.11:47923744:47924329:R	cluster_3_node_1_2motifs	R	469	494	2.2
randfragment_12_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:157050337:157050648:R	cluster_3_node_1_2motifs	D	4	29	0.7
randfragment_13_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000006.12:41083509:41083919:D	cluster_3_node_1_2motifs	D	52	77	-1.0
randfragment_14_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000007.14:124716292:124716746:R	cluster_3_node_1_2motifs	D	89	114	3.2
randfragment_15_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000017.11:16280232:16280729:R	cluster_3_node_1_2motifs	R	160	185	1.2
randfragment_16_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000006.12:32020471:32020929:R	cluster_3_node_1_2motifs	D	138	163	-3.1
randfragment_17_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000013.11:2447447:2448018:R	cluster_3_node_1_2motifs	.	0	0	-1000000.0
randfragment_18_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NW_003315905.1:131829:132233:R	cluster_3_node_1_2motifs	D	330	355	1.3
randfragment_19_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000018.10:21882761:21883335:D	cluster_3_node_1_2motifs	D	321	346	11.3
randfragment_20_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:61833765:61834121:D	cluster_3_node_1_2motifs	D	328	353	9.9
randfragment_21_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000006.12:135615329:135615771:R	cluster_3_node_1_2motifs	D	285	310	4.4
randfragment_22_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000001.11:218813512:218814457:D	cluster_3_node_1_2motifs	R	4	29	-4.3
randfragment_23_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NW_025791769.1:112527:112831:R	cluster_3_node_1_2motifs	R	160	185	-0.2
randfragment_24_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:150213048:150213527:R	cluster_3_node_1_2motifs	R	304	329	-1.8
randfragment_25_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000009.12:23874210:23874617:R	cluster_3_node_1_2motifs	R	26	51	-3.5
randfragment_26_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000024.10:41907724:41908181:D	cluster_3_node_1_2motifs	.	0	0	-1000000.0
randfragment_27_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000005.10:130130812:130131431:D	cluster_3_node_1_2motifs	D	520	545	-2.8
randfragment_28_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000007.14:58877556:58877888:R	cluster_3_node_1_2motifs	D	277	302	-5.7
randfragment_29_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NW_017852928.1:396382:396807:D	cluster_3_node_1_2motifs	R	363	388	3.5
randfragment_30_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000012.12:52121977:52122459:R	cluster_3_node_1_2motifs	R	355	380	7.6
randfragment_31_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000014.9:28153119:28153501:D	cluster_3_node_1_2motifs	D	354	379	-5.1
randfragment_32_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000008.11:115780675:115781113:D	cluster_3_node_1_2motifs	R	217	242	-6.4
randfragment_33_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:10024762:10025263:D	cluster_3_node_1_2motifs	R	233	258	-3.7
randfragment_34_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000014.9:3077669:3078116:D	cluster_3_node_1_2motifs	.	0	0	-1000000.0
randfragment_35_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000010.11:116847:117250:D	cluster_3_node_1_2motifs	D	201	226	-4.0
randfragment_36_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000019.10:51050925:51051195:R	cluster_3_node_1_2motifs	D	118	143	1.4
randfragment_37_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000018.10:49367531:49367918:D	cluster_3_node_1_2motifs	R	16	41	-0.1
randfragment_38_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000003.12:197118914:197119483:R	cluster_3_node_1_2motifs	D	536	561	-1.3
randfragment_39_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000010.11:17813265:17814087:R	cluster_3_node_1_2motifs	R	260	285	-0.4
randfragment_40_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000024.10:796135:796635:D	cluster_3_node_1_2motifs	D	64	89	1.0
randfragment_41_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000011.10:27245483:27246149:R	cluster_3_node_1_2motifs	D	58	83	-1.8
randfragment_42_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000006.12:82723830:82724099:D	cluster_3_node_1_2motifs	R	186	211	0.8
randfragment_43_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000007.14:81901555:81902165:R	cluster_3_node_1_2motifs	R	580	605	-3.9
randfragment_44_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000006.12:145030016:145030403:D	cluster_3_node_1_2motifs	D	123	148	2.3
randfragment_45_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:167249245:167249762:D	cluster_3_node_1_2motifs	D	7	32	-6.2
randfragment_46_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000001.11:199814999:199815925:R	cluster_3_node_1_2motifs	D	779	804	0.6
randfragment_47_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000002.12:184831554:184831984:R	cluster_3_node_1_2motifs	R	394	419	-1.3
randfragment_48_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:37648020:37648569:R	cluster_3_node_1_2motifs	D	309	334	6.2
randfragment_49_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000002.12:103722505:103722884:D	cluster_3_node_1_2motifs	R	88	113	-5.0
randfragment_50_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000018.10:20449533:20449921:R	cluster_3_node_1_2motifs	D	273	298	-5.7
randfragment_51_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:156844649:156845368:D	cluster_3_node_1_2motifs	D	574	599	-7.5
randfragment_52_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000023.11:119153401:119154220:D	cluster_3_node_1_2motifs	D	276	301	0.4
randfragment_53_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NW_025791812.1:115983:116319:R	cluster_3_node_1_2motifs	R	11	36	0.7
randfragment_54_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000015.10:51144735:51145205:R	cluster_3_node_1_2motifs	D	267	292	0.5
randfragment_55_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000020.11:57641590:57641893:D	cluster_3_node_1_2motifs	D	185	210	-11.5
randfragment_56_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000014.9:90672660:90673037:R	cluster_3_node_1_2motifs	D	153	178	-6.0
randfragment_57_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000015.10:70136161:70136502:D	cluster_3_node_1_2motifs	R	135	160	-0.4
randfragment_58_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000003.12:69527891:69528379:R	cluster_3_node_1_2motifs	R	124	149	8.2
randfragment_59_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000008.11:51820242:51820641:R	cluster_3_node_1_2motifs	D	232	257	-2.3
randfragment_60_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000002.12:36746147:36746492:D	cluster_3_node_1_2motifs	D	275	300	-9.1
randfragment_61_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000022.11:4009208:4009542:R	cluster_3_node_1_2motifs	.	0	0	-1000000.0
randfragment_62_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000010.11:38842269:38842540:D	cluster_3_node_1_2motifs	R	123	148	-5.6
randfragment_63_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000013.11:73827844:73828391:R	cluster_3_node_1_2motifs	R	520	545	-1.0
randfragment_64_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000002.12:142356685:142357089:R	cluster_3_node_1_2motifs	R	296	321	-5.4
randfragment_65_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000014.9:55902438:55903003:R	cluster_3_node_1_2motifs	D	304	329	-3.9
randfragment_66_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000005.10:132998111:132998509:R	cluster_3_node_1_2motifs	R	274	299	-7.2
randfragment_67_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000016.10:64512862:64513418:D	cluster_3_node_1_2motifs	D	161	186	-8.2
randfragment_68_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000005.10:5395115:5395593:R	cluster_3_node_1_2motifs	D	357	382	3.9
randfragment_69_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:160658991:160659538:R	cluster_3_node_1_2motifs	D	148	173	6.5
randfragment_70_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000009.12:86748202:86748814:D	cluster_3_node_1_2motifs	D	219	244	-0.9
randfragment_71_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:53996731:53997249:R	cluster_3_node_1_2motifs	R	142	167	0.0
