generation	AC	ID	AuROC	roc_auc	AuPR	pr_auc	parent_AC	parent_ID	selected
0	cluster_4	cluster_4	0.7131325493149497	0.712623613243345	0.710789459379387	0.7092665294924758	Origin	Origin	1
0	cluster_1_node_1_2motifs	cluster_1_node_1_2motifs	0.6705830895345133	0.6700734293079975	0.7160565136871987	0.715326925153482	Origin	Origin	1
0	cluster_1_node_2_3motifs	cluster_1_node_2_3motifs	0.6651042783072153	0.6645905628131968	0.7121118075370555	0.7113749372214568	Origin	Origin	1
0	cluster_1_node_3_4motifs	cluster_1_node_3_4motifs	0.6636811690756885	0.6631668742577412	0.7113849602919009	0.7106216979643656	Origin	Origin	1
0	cluster_1	cluster_1	0.6585140341221795	0.6580049532195928	0.7079166661116592	0.7071727826573755	Origin	Origin	1
0	cluster_1_node_5_6motifs	cluster_1_node_5_6motifs	0.6563690872751498	0.6558500130347884	0.7066566335921748	0.7059327055528115	Origin	Origin	0
0	cluster_1_node_8_9motifs	cluster_1_node_8_9motifs	0.6562992787417085	0.65578556324769	0.7059549006323717	0.7052775416570207	Origin	Origin	0
0	cluster_1_node_9_10motifs	cluster_1_node_9_10motifs	0.6555189294093795	0.6550034759435738	0.7055703946898086	0.7048195577233324	Origin	Origin	0
0	cluster_1_node_6_7motifs	cluster_1_node_6_7motifs	0.6554401413550388	0.6549265706920024	0.7058798467994106	0.7051351829649222	Origin	Origin	0
0	cluster_1_node_4_2motifs	cluster_1_node_4_2motifs	0.6455893172667494	0.6450722706601396	0.698989767846628	0.6982554212403156	Origin	Origin	0
0	cluster_1_node_7_2motifs	cluster_1_node_7_2motifs	0.6384673985458966	0.63795571068563	0.6839118042840964	0.6829724484341632	Origin	Origin	0
0	cluster_3	cluster_3	0.5570978767778002	0.5565827129739593	0.5601198555926841	0.557566874123587	Origin	Origin	0
0	cluster_2	cluster_2	0.5323742142919212	0.5318691886568375	0.550499195264085	0.5454523461049646	Origin	Origin	0
1	cluster_4_G1_M4_C7	cluster_4_G1_M4_C7	0.7319880948932594	0.7314858210468383	0.7315523374310359	0.7294212014244174	cluster_4	cluster_4	1
1	cluster_4_G1_M4_C8	cluster_4_G1_M4_C8	0.7219491353590359	0.7214461373577036	0.7186798867432885	0.7174437380968067	cluster_4	cluster_4	1
1	cluster_4_G1_M4_C2	cluster_4_G1_M4_C2	0.7203749674130291	0.7198645830316021	0.7152075544963278	0.714016342473487	cluster_4	cluster_4	1
1	cluster_4_G1_M4_C5	cluster_4_G1_M4_C5	0.7197446629783041	0.7192318164701792	0.7167639267631467	0.7151554780639513	cluster_4	cluster_4	1
1	cluster_4_G1_M4_C9	cluster_4_G1_M4_C9	0.7179484691365176	0.7174456159661675	0.709278735910019	0.7076827700541796	cluster_4	cluster_4	1
1	cluster_4_G1_M4_C1	cluster_4_G1_M4_C1	0.7152098600932708	0.714698172233004	0.7098220364536295	0.7094416000947246	cluster_4	cluster_4	0
1	cluster_4	cluster_4	0.7131325493149497	0.712623613243345	0.710789459379387	0.7092665294924758	Origin	Origin	0
1	cluster_4_G1_M4_C3	cluster_4_G1_M4_C3	0.7096195290096453	0.709113924050633	0.7063454045932184	0.7057215459547372	cluster_4	cluster_4	0
1	cluster_4_G1_M4_C10	cluster_4_G1_M4_C10	0.7070959939750312	0.7065824233119948	0.7085009075036249	0.706693391800824	cluster_4	cluster_4	0
1	cluster_4_G1_M4_C6	cluster_4_G1_M4_C6	0.7035011441647595	0.7029888769805637	0.7022689949604585	0.7009412617743178	cluster_4	cluster_4	0
1	cluster_4_G1_M4_C4	cluster_4_G1_M4_C4	0.6959395185818149	0.6954269617356544	0.6887925804031636	0.6887331949464538	cluster_4	cluster_4	0
1	cluster_1_node_1_2motifs_G1_M1_C9	cluster_1_node_1_2motifs_G1_M1_C9	0.6924890652608404	0.6919794050343249	0.7295693904911789	0.7288166030291149	cluster_1_node_1_2motifs	cluster_1_node_1_2motifs	0
1	cluster_1_node_3_4motifs_G1_M3_C4	cluster_1_node_3_4motifs_G1_M3_C4	0.6881437013005821	0.687635489383889	0.7276292081755031	0.726844811316773	cluster_1_node_3_4motifs	cluster_1_node_3_4motifs	0
1	cluster_1_G1_M5_C5	cluster_1_G1_M5_C5	0.6866202241983607	0.6861063638733598	0.7252416179755582	0.7245335343556067	cluster_1	cluster_1	0
1	cluster_1_node_1_2motifs_G1_M1_C1	cluster_1_node_1_2motifs_G1_M1_C1	0.6865530226225988	0.6860416244242968	0.7260627704256145	0.7252680330300098	cluster_1_node_1_2motifs	cluster_1_node_1_2motifs	0
1	cluster_1_node_1_2motifs_G1_M1_C6	cluster_1_node_1_2motifs_G1_M1_C6	0.6852695304579558	0.6847559597949193	0.7262145040081471	0.7254289843597874	cluster_1_node_1_2motifs	cluster_1_node_1_2motifs	0
1	cluster_1_node_2_3motifs_G1_M2_C5	cluster_1_node_2_3motifs_G1_M2_C5	0.684512788575732	0.6840100802363642	0.7237183233596942	0.7230230438378937	cluster_1_node_2_3motifs	cluster_1_node_2_3motifs	0
1	cluster_1_node_1_2motifs_G1_M1_C8	cluster_1_node_1_2motifs_G1_M1_C8	0.6795035193928681	0.6789927005184949	0.7228860917296986	0.7220957702526789	cluster_1_node_1_2motifs	cluster_1_node_1_2motifs	0
1	cluster_1_node_1_2motifs_G1_M1_C4	cluster_1_node_1_2motifs_G1_M1_C4	0.6794319728876403	0.6789173884077282	0.7218143685225127	0.7210443967910956	cluster_1_node_1_2motifs	cluster_1_node_1_2motifs	0
1	cluster_1_G1_M5_C9	cluster_1_G1_M5_C9	0.6764480201604732	0.6759373461170813	0.7192263198041061	0.718426988587695	cluster_1	cluster_1	0
1	cluster_1_G1_M5_C10	cluster_1_G1_M5_C10	0.674051067404339	0.6735367725863917	0.7162334238387603	0.7156078282735443	cluster_1	cluster_1	0
1	cluster_1_node_3_4motifs_G1_M3_C9	cluster_1_node_3_4motifs_G1_M3_C9	0.6739712655331229	0.6734566810532109	0.7185098761252073	0.7177696954257033	cluster_1_node_3_4motifs	cluster_1_node_3_4motifs	0
1	cluster_1_node_1_2motifs_G1_M1_C7	cluster_1_node_1_2motifs_G1_M1_C7	0.6734673985458968	0.6729565796715233	0.7176196715007125	0.7168390596125561	cluster_1_node_1_2motifs	cluster_1_node_1_2motifs	0
1	cluster_1_node_2_3motifs_G1_M2_C10	cluster_1_node_2_3motifs_G1_M2_C10	0.6729690351359957	0.6724585059235872	0.7159473878224636	0.715219218321725	cluster_1_node_2_3motifs	cluster_1_node_2_3motifs	0
1	cluster_1_node_1_2motifs	cluster_1_node_1_2motifs	0.6705830895345133	0.6700734293079975	0.7160565136871987	0.715326925153482	Origin	Origin	0
1	cluster_1_node_3_4motifs_G1_M3_C6	cluster_1_node_3_4motifs_G1_M3_C6	0.6693801233959966	0.668864959592156	0.7155745715354308	0.7148216941082489	cluster_1_node_3_4motifs	cluster_1_node_3_4motifs	0
1	cluster_1_node_1_2motifs_G1_M1_C5	cluster_1_node_1_2motifs_G1_M1_C5	0.6690559916577352	0.668539958868001	0.715092576938539	0.7143318972672141	cluster_1_node_1_2motifs	cluster_1_node_1_2motifs	0
