; matrix-scan  -quick -v 2 -m results/leaderboard/train/CHS/GABPA/THC_0866/peak-motifs-nopurge/clustered_motifs/matrix-clusters_aligned_logos/All_concatenated_motifs_trimmed-info_0.1.tf -matrix_format transfac -i data/leaderboard/train/CHS/GABPA/THC_0866.fasta -seq_format fasta -bgfile bg_models/equiprobable_1str.tsv -bg_pseudo 0.01 -pseudo 1 -decimals 1 -2str -return sites -uth rank_pm 1 -n score
; Quick counting mode           
; Input files
;	data/leaderboard/train/CHS/GABPA/THC_0866.fasta
;	bg_models/equiprobable_1str.tsv
; Matrix files
;	results/leaderboard/train/CHS/GABPA/THC_0866/peak-motifs-nopurge/clustered_motifs/matrix-clusters_aligned_logos/All_concatenated_motifs_trimmed-info_0.1.tf
; Sequence format      
; Pseudo counts        
; Background model
;	file
;
;	sensitive
;	0.01
;
;	a	0.25000
;	c	0.25000
;	g	0.25000
;	t	0.25000
; Thresholds	upper
;	NA	1    
; Output columns
;	seq_id
;	ft_type
;	ft_name
;	strand
;	start
;	end
;	sequence
;	weight
#seq_id	ft_name	strand	start	end	weight
hg38_chr1_100132894_100133369_+	cluster_3_node_1_2motifs	R	30	55	9.1
hg38_chr1_100266095_100266433_+	cluster_3_node_1_2motifs	R	280	305	8.3
hg38_chr1_100894619_100895289_+	cluster_3_node_1_2motifs	D	466	491	6.2
hg38_chr1_100895701_100896286_+	cluster_3_node_1_2motifs	D	321	346	14.5
hg38_chr1_1019551_1019895_+	cluster_3_node_1_2motifs	R	226	251	16.9
hg38_chr1_10472463_10472824_+	cluster_3_node_1_2motifs	R	30	55	7.6
hg38_chr1_107056486_107056758_+	cluster_3_node_1_2motifs	D	101	126	8.6
hg38_chr1_108692020_108692670_+	cluster_3_node_1_2motifs	D	526	551	11.6
hg38_chr1_108746450_108746748_+	cluster_3_node_1_2motifs	R	195	220	8.2
hg38_chr1_109075778_109076363_+	cluster_3_node_1_2motifs	R	244	269	5.9
hg38_chr1_109099987_109100298_+	cluster_3_node_1_2motifs	R	150	175	10.3
hg38_chr1_109213637_109214047_+	cluster_3_node_1_2motifs	D	170	195	11.7
hg38_chr1_109283034_109283488_+	cluster_3_node_1_2motifs	D	407	432	14.9
hg38_chr1_109426368_109426865_+	cluster_3_node_1_2motifs	R	199	224	5.4
hg38_chr1_109532245_109532703_+	cluster_3_node_1_2motifs	R	145	170	6.4
hg38_chr1_109548260_109548831_+	cluster_3_node_1_2motifs	D	434	459	9.4
hg38_chr1_109620830_109621234_+	cluster_3_node_1_2motifs	D	60	85	15.3
hg38_chr1_110339010_110339584_+	cluster_3_node_1_2motifs	R	400	425	7.0
hg38_chr1_110407432_110407788_+	cluster_3_node_1_2motifs	R	265	290	6.3
hg38_chr1_11059988_11060430_+	cluster_3_node_1_2motifs	R	61	86	17.3
hg38_chr1_110963515_110964460_+	cluster_3_node_1_2motifs	R	493	518	10.4
hg38_chr1_111139661_111139965_+	cluster_3_node_1_2motifs	D	153	178	11.6
hg38_chr1_111755350_111755829_+	cluster_3_node_1_2motifs	R	226	251	12.6
hg38_chr1_112395857_112396264_+	cluster_3_node_1_2motifs	R	381	406	11.7
hg38_chr1_112619513_112619970_+	cluster_3_node_1_2motifs	R	151	176	12.7
hg38_chr1_11262413_11263032_+	cluster_3_node_1_2motifs	D	90	115	12.0
hg38_chr1_113759333_113759665_+	cluster_3_node_1_2motifs	R	84	109	14.4
hg38_chr1_113812227_113812652_+	cluster_3_node_1_2motifs	D	288	313	17.7
hg38_chr1_113904883_113905365_+	cluster_3_node_1_2motifs	D	450	475	10.2
hg38_chr1_113929285_113929667_+	cluster_3_node_1_2motifs	R	279	304	13.6
hg38_chr1_114581617_114582055_+	cluster_3_node_1_2motifs	D	109	134	1.3
hg38_chr1_114716498_114716999_+	cluster_3_node_1_2motifs	D	305	330	12.2
hg38_chr1_114780493_114780940_+	cluster_3_node_1_2motifs	D	121	146	9.8
hg38_chr1_11681244_11681647_+	cluster_3_node_1_2motifs	R	22	47	14.4
hg38_chr1_117059285_117059555_+	cluster_3_node_1_2motifs	D	228	253	4.8
hg38_chr1_117367261_117367648_+	cluster_3_node_1_2motifs	R	92	117	12.5
hg38_chr1_117929401_117929970_+	cluster_3_node_1_2motifs	D	2	27	12.0
hg38_chr1_11805438_11806260_+	cluster_3_node_1_2motifs	D	426	451	9.5
hg38_chr1_119648061_119648561_+	cluster_3_node_1_2motifs	D	419	444	14.5
hg38_chr1_120176204_120176870_+	cluster_3_node_1_2motifs	D	215	240	5.2
hg38_chr1_121518987_121519256_+	cluster_3_node_1_2motifs	D	198	223	10.0
hg38_chr1_1231581_1232191_+	cluster_3_node_1_2motifs	R	404	429	11.5
hg38_chr1_1307973_1308360_+	cluster_3_node_1_2motifs	R	211	236	16.1
hg38_chr1_1324475_1324992_+	cluster_3_node_1_2motifs	R	291	316	17.2
hg38_chr1_1374921_1375847_+	cluster_3_node_1_2motifs	D	175	200	10.0
hg38_chr1_1399307_1399737_+	cluster_3_node_1_2motifs	D	58	83	15.7
hg38_chr1_1407053_1407602_+	cluster_3_node_1_2motifs	R	512	537	11.4
hg38_chr1_143720816_143721195_+	cluster_3_node_1_2motifs	R	147	172	6.9
hg38_chr1_144546613_144547001_+	cluster_3_node_1_2motifs	D	205	230	7.2
hg38_chr1_144551722_144552441_+	cluster_3_node_1_2motifs	D	226	251	8.7
hg38_chr1_145280624_145281443_+	cluster_3_node_1_2motifs	R	393	418	17.4
hg38_chr1_145927459_145927795_+	cluster_3_node_1_2motifs	R	107	132	4.2
hg38_chr1_145979309_145979779_+	cluster_3_node_1_2motifs	R	166	191	3.6
hg38_chr1_146037342_146037645_+	cluster_3_node_1_2motifs	D	214	239	5.2
hg38_chr1_146386985_146387362_+	cluster_3_node_1_2motifs	R	159	184	7.2
hg38_chr1_1471564_1471905_+	cluster_3_node_1_2motifs	D	46	71	13.3
hg38_chr1_148152046_148152534_+	cluster_3_node_1_2motifs	R	20	45	6.1
hg38_chr1_148388761_148389160_+	cluster_3_node_1_2motifs	D	220	245	5.4
hg38_chr1_148402291_148402636_+	cluster_3_node_1_2motifs	R	50	75	11.8
hg38_chr1_148522084_148522418_+	cluster_3_node_1_2motifs	R	197	222	7.1
hg38_chr1_149636336_149636607_+	cluster_3_node_1_2motifs	R	41	66	11.0
hg38_chr1_149927513_149928060_+	cluster_3_node_1_2motifs	R	330	355	11.6
hg38_chr1_150010551_150010955_+	cluster_3_node_1_2motifs	D	258	283	12.7
hg38_chr1_150067423_150067988_+	cluster_3_node_1_2motifs	R	388	413	5.8
hg38_chr1_150268904_150269302_+	cluster_3_node_1_2motifs	R	40	65	9.8
hg38_chr1_150293539_150294095_+	cluster_3_node_1_2motifs	R	400	425	2.4
hg38_chr1_150321289_150321767_+	cluster_3_node_1_2motifs	R	198	223	12.2
hg38_chr1_150487092_150487639_+	cluster_3_node_1_2motifs	D	503	528	6.0
hg38_chr1_150579436_150580048_+	cluster_3_node_1_2motifs	R	325	350	21.5
hg38_chr1_150926168_150926686_+	cluster_3_node_1_2motifs	R	454	479	10.5
hg38_chr1_151008215_151008579_+	cluster_3_node_1_2motifs	R	199	224	12.6
